,user,es,is,ps
153,0x00df3231f973d9bba9df848b2fb690405b5b8888,1,0.250000000,99.0
154,0x00e0499cb658ff2b9e7b3aebc6db5f27b2c6d7aa,1,0.500000000,56.0
155,0x00e0e0fa5c60346582dce5c3195a9940ae7111fe,19,21.800000000,36.03846153846154
156,0x00e484da1156202e9dd341ad7ea9c908bb919e96,16,22.809000000,34.75
157,0x00e4a0d1225088ce73138ba5a879af6eafda6f3e,1,0.359000000,43.0
158,0x00e5753e5e8a5c1f3be40392495446477edac73c,1,0.750000000,24.0
159,0x00e76d211ea521d7869dbeb8360c1f0a7a97baab,1,0.100000000,33.0
160,0x00e839bc0c9a130afe30974914c4b0100756cff4,1,0.500000000,59.0
161,0x00e9baa01e8345d1bbb1025c3138caaa7699eb37,4,6.400000000,35.75
162,0x00ee49bd69d7c79142c580ee6f06983155fc552d,1,1.750000000,19.0
163,0x00ef256c967703ec84acdbee0b9690d3bbcbd6dc,3,0.350000000,90.33333333333333
164,0x00f09f87a2e15c9666f37ad48c01e180e66381ed,2,1.000000000,50.166666666666664
165,0x00f2bb128baba9e2b3a466228759166987e4feb9,1,1.500000000,35.0
166,0x00f4c5a7b7d83aaaef9ed7d143b262bca4330529,1,0.090000000,90.0
167,0x00f5fcb6ba6fc28e95ab9572f432d452292b66f4,2,0.550000000,45.75
168,0x00f630965f882298219edbb1b96e0409ec6c8698,2,2.200000000,30.333333333333332
169,0x00f96d4f0b1d60ba66b32663835f4e28438344c7,1,0.250000000,66.0
170,0x00faaff0d3f9a935f30e2b5c8950f2f55182eab5,1,1.000000000,20.0
171,0x0100029670faae0fd631810c483b9cae68e9bb1a,1,1.750000000,12.0
172,0x0102ec17e06441ff32b5400bfe060f6e4cdbc947,1,0.150000000,47.0
173,0x0103a4966daba5a947df52b0b892d8b3fdef5a4f,1,0.400000000,88.0
174,0x0103fad7c742ec520d5782e9bdd7754ead70ddfe,1,0.200000000,62.0
175,0x0105091bd88dd46ed3544e701c8c964033d4338c,2,1.250000000,52.5
